,genus,line,kingdom,phylum,class,order,family
610,g__Halochromatium,1127559.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Chromatiales, f__Chromatiaceae
611,g__Geodermatophilus,3532053.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Geodermatophilaceae
612,g__Diaphorobacter,936458.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
613,g__Curtobacterium,128113.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae
614,g__Rickettsiella,1064392.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Coxiellaceae
615,g__Thermobaculum,554719.0,k__Bacteria, p__Chloroflexi, c__[Thermobacula], o__[Thermobaculales], f__[Thermobaculaceae]
616,g__Buchnera,554710.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae
617,g__Congregibacter,1883968.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__OM60
618,g__Kushneria,4428164.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Halomonadaceae
619,g__Arctic95A-2,826134.0,k__Bacteria, p__SAR406, c__AB16, o__Arctic96B-7, f__A714017
620,g__Desulfocapsa,826132.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfobacterales, f__Desulfobulbaceae
621,g__Chlorobaculum,344813.0,k__Bacteria, p__Chlorobi, c__Chlorobia, o__Chlorobiales, f__Chlorobiaceae
622,g__Agromyces,95950.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae
623,g__Magnetospirillum,4448854.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae
624,g__Leptospira,786362.0,k__Bacteria, p__Spirochaetes, c__[Leptospirae], o__[Leptospirales], f__Leptospiraceae
625,g__Paucibacter,547503.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
626,g__vadinHB04,572427.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae
627,g__Jonesia,210576.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Jonesiaceae
628,g__Serinicoccus,736888.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Intrasporangiaceae
629,g__Acidocella,223846.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae
630,g__Chromohalobacter,571195.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Halomonadaceae
631,g__Nodularia,50096.0,k__Bacteria, p__Cyanobacteria, c__Nostocophycideae, o__Nostocales, f__Nostocaceae
632,g__Cellulosimicrobium,72122.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Promicromonosporaceae
633,g__Rikenella,2529160.0,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae
634,g__Nannocystis,4299497.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Nannocystaceae
635,g__Candidatus Chloracidobacterium,3696.0,k__Bacteria, p__Acidobacteria, c__[Chloracidobacteria], o__[Chloracidobacterales], f__[Chloracidobacteraceae]
636,g__Yonghaparkia,4295876.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae
637,g__BD2-13,4342030.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae
638,g__YNPFFP6,38187.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Sulfobacillaceae
639,g__Kaistia,527906.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae
640,g__Dethiobacter,240833.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Natranaerobiales, f__Anaerobrancaceae
641,g__HMMVBeg-29,686387.0,k__Archaea, p__Euryarchaeota, c__Methanomicrobia, o__Methanosarcinales, f__Methanosarcinaceae
642,g__Pseudoclavibacter,492873.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae
643,g__Ulvibacter,244683.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
644,g__Modestobacter,255708.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Geodermatophilaceae
645,g__Halomicronema,2516873.0,k__Bacteria, p__Cyanobacteria, c__Synechococcophycideae, o__Pseudanabaenales, f__Pseudanabaenaceae
646,g__Halococcus,17995.0,k__Archaea, p__Euryarchaeota, c__Halobacteria, o__Halobacteriales, f__Halobacteriaceae
647,g__Desulfobacca,834336.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Syntrophobacterales, f__Syntrophaceae
648,g__B46,785778.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Thiotrichaceae
649,g__Caloramator,151986.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae
650,g__Varibaculum,982877.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Actinomycetaceae
651,g__Winogradskyella,3153795.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
652,g__Thermacetogenium,1105338.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Thermoanaerobacterales, f__Thermoanaerobacteraceae
653,g__Anaerolinea,4461642.0,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__Anaerolineales, f__Anaerolinaceae
654,g__Gracilibacter,146278.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Gracilibacteraceae
655,g__Phaeospirillum,66229.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae
656,g__Chromobacterium,1108259.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Neisseriales, f__Neisseriaceae
657,g__Roseomonas,567867.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae
658,g__Candidatus Protochlamydia,562333.0,k__Bacteria, p__Chlamydiae, c__Chlamydiia, o__Chlamydiales, f__Parachlamydiaceae
659,g__Deferribacter,718323.0,k__Bacteria, p__Deferribacteres, c__Deferribacteres, o__Deferribacterales, f__Deferribacteraceae
660,g__Vogesella,1107781.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Neisseriales, f__Neisseriaceae
661,g__Tepidibacter,14199.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Peptostreptococcaceae
662,g__Flexithrix,4435558.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Flammeovirgaceae
663,g__Trichodesmium,1116418.0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Oscillatoriales, f__Phormidiaceae
664,g__Z-35,511649.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae
665,g__Amaricoccus,3239984.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae
666,g__Salinivibrio,241413.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Vibrionales, f__Vibrionaceae
667,g__Gallicola,236687.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Tissierellaceae]
668,g__Bizionia,112904.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
669,g__Maribacter,4469220.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
670,g__Fulvivirga,2582023.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Flammeovirgaceae
671,g__Reinekea,1135771.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Saccharospirillaceae
672,g__C1_B004,828913.0,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__Anaerolineales, f__Anaerolinaceae
673,g__Methanococcoides,262453.0,k__Archaea, p__Euryarchaeota, c__Methanomicrobia, o__Methanosarcinales, f__Methanosarcinaceae
674,g__Uliginosibacterium,886015.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae
675,g__Ferrimonas,625714.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Ferrimonadaceae
676,g__Xanthobacter,4377346.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Xanthobacteraceae
677,g__Sporomusa,341031.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae
678,g__Kocuria,907419.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae
679,g__Friedmanniella,889880.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae
680,g__FFCH10602,243011.0,k__Bacteria, p__Chloroflexi, c__Ktedonobacteria, o__Ktedonobacterales, f__Ktedonobacteraceae
681,g__Candidatus Scalindua,4371144.0,k__Bacteria, p__Planctomycetes, c__[Brocadiae], o__Brocadiales, f__Brocadiaceae
682,g__Zobellia,4469450.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
683,g__Terracoccus,588981.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Intrasporangiaceae
684,g__Anaerovibrio,522231.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae
685,g__Thermoanaerovibrio,72957.0,k__Bacteria, p__Synergistetes, c__Synergistia, o__Synergistales, f__Synergistaceae
686,g__Marinicella,314846.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__[Marinicellales], f__[Marinicellaceae]
687,g__Methanospirillum,4427560.0,k__Archaea, p__Euryarchaeota, c__Methanomicrobia, o__Methanomicrobiales, f__Methanospirillaceae
688,g__SHD-231,4427564.0,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__Anaerolineales, f__Anaerolinaceae
689,g__Elizabethkingia,786876.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae]
690,g__Psychroflexus,62485.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
691,g__Terriglobus,168599.0,k__Bacteria, p__Acidobacteria, c__Acidobacteriia, o__Acidobacteriales, f__Acidobacteriaceae
692,g__Phaeobacter,565258.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae
693,g__Candidatus Neoehrlichia,543619.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Anaplasmataceae
694,g__Anabaenopsis,29506.0,k__Bacteria, p__Cyanobacteria, c__Nostocophycideae, o__Nostocales, f__Nostocaceae
695,g__Aquabacterium,389296.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
696,g__Candidatus Amoebophilus,837704.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__[Amoebophilaceae]
697,g__Kitasatospora,45323.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptomycetaceae
698,g__Salegentibacter,1120805.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
699,g__Salinicoccus,4422393.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Staphylococcaceae
700,g__Aminiphilus,823828.0,k__Bacteria, p__Synergistetes, c__Synergistia, o__Synergistales, f__Aminiphilaceae
701,g__Runella,249437.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae
702,g__Coriobacterium,554988.0,k__Bacteria, p__Actinobacteria, c__Coriobacteriia, o__Coriobacteriales, f__Coriobacteriaceae
703,g__Alkalibacterium,254947.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Aerococcaceae
704,g__Kutzneria,12987.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Actinosynnemataceae
705,g__Lentzea,12985.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Actinosynnemataceae
706,g__Lysobacter,530838.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae
707,g__S1,352381.0,k__Bacteria, p__Thermotogae, c__Thermotogae, o__Thermotogales, f__Thermotogaceae
708,g__Erythromicrobium,541199.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Erythrobacteraceae
709,g__Myxococcus,703863.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Myxococcaceae
710,g__Simplicispira,81783.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
711,g__Wandonia,81782.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Cryomorphaceae
712,g__Natronobacillus,1144769.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae
713,g__SGSH944,348542.0,k__Bacteria, p__SAR406, c__AB16, o__Arctic96B-7, f__A714017
714,g__Desulforhopalus,95584.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfobacterales, f__Desulfobulbaceae
715,g__Moryella,825138.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae
716,g__Oceanisphaera,571322.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Aeromonadales, f__Aeromonadaceae
717,g__Avibacterium,160627.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__Pasteurellaceae
718,g__Thiocapsa,669218.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Chromatiales, f__Chromatiaceae
719,g__Hydrogenivirga,1894171.0,k__Bacteria, p__Aquificae, c__Aquificae, o__Aquificales, f__Aquificaceae
720,g__ZD0117,278648.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae
721,g__Adhaeribacter,1130790.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae
722,g__Thiorhodospira,2143140.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Chromatiales, f__Ectothiorhodospiraceae
723,g__Virgisporangium,4366263.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micromonosporaceae
724,g__BSV43,4327065.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae
725,g__Pigmentiphaga,149330.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Alcaligenaceae
726,g__Prochloron,201540.0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Chroococcales, f__Prochloraceae
727,g__Jiangella,770209.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Pseudonocardiaceae
728,g__Pseudochrobactrum,817507.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Brucellaceae
729,g__Scytonema,4345341.0,k__Bacteria, p__Cyanobacteria, c__Nostocophycideae, o__Nostocales, f__Scytonemataceae
730,g__Alloiococcus,1101986.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Aerococcaceae
731,g__Candidatus Tremblaya,1739893.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Tremblayales, f__Tremblayaceae
732,g__Fibrobacter,317426.0,k__Bacteria, p__Fibrobacteres, c__Fibrobacteria, o__Fibrobacterales, f__Fibrobacteraceae
733,g__Nitrosovibrio,621710.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Nitrosomonadales, f__Nitrosomonadaceae
734,g__Methanocella,41595.0,k__Archaea, p__Euryarchaeota, c__Methanomicrobia, o__Methanocellales, f__Methanocellaceae
735,g__Thalassomonas,2889965.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Colwelliaceae
736,g__Sediminicola,795842.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
737,g__Anaplasma,1649674.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Anaplasmataceae
738,g__Actinoalloteichus,4339167.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Actinosynnemataceae
739,g__Pasteuria,44324.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Pasteuriaceae
740,g__BD2-6,3735926.0,k__Bacteria, p__Nitrospirae, c__Nitrospira, o__Nitrospirales, f__[Thermodesulfovibrionaceae]
741,g__Methanopyrus,239922.0,k__Archaea, p__Euryarchaeota, c__Methanopyri, o__Methanopyrales, f__Methanopyraceae
742,g__Methylopila,1027413.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Methylocystaceae
743,g__Calothrix,726406.0,k__Bacteria, p__Cyanobacteria, c__Nostocophycideae, o__Stigonematales, f__Rivulariaceae
744,g__Enterovibrio,9131.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Vibrionales, f__Vibrionaceae
745,g__Demequina,257283.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Cellulomonadaceae
746,g__Actinopolyspora,1054787.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Actinopolysporaceae
747,g__CF-26,816834.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Thiotrichaceae
748,g__Pseudidiomarina,327394.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Idiomarinaceae
749,g__WH1-8,516206.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Acidaminobacteraceae]
750,g__Cryocola,82704.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae
751,g__Thalassospira,43487.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Kiloniellales, f__Kiloniellaceae
752,g__Jannaschia,257910.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae
753,g__Metallosphaera,111758.0,k__Archaea, p__Crenarchaeota, c__Thermoprotei, o__Sulfolobales, f__Sulfolobaceae
754,g__Hydrogenobaculum,196961.0,k__Bacteria, p__Aquificae, c__Aquificae, o__Aquificales, f__Aquificaceae
755,g__Marinimicrobium,340458.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae
756,g__Segetibacter,676069.0,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae
757,g__Flectobacillus,637288.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae
758,g__Candidatus Magnetoovum,628556.0,k__Bacteria, p__Nitrospirae, c__Nitrospira, o__Nitrospirales, f__[Thermodesulfovibrionaceae]
759,g__Haloquadratum,755781.0,k__Archaea, p__Euryarchaeota, c__Halobacteria, o__Halobacteriales, f__Halobacteriaceae
760,g__4-29,138416.0,k__Bacteria, p__Nitrospirae, c__Nitrospira, o__Nitrospirales, f__FW
761,g__Agarivorans,84401.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae
762,g__Prauserella,160938.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Pseudonocardiaceae
763,g__Thalassobius,1132028.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae
764,g__Facklamia,242685.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Aerococcaceae
765,g__Aminobacterium,99359.0,k__Bacteria, p__Synergistetes, c__Synergistia, o__Synergistales, f__Dethiosulfovibrionaceae
766,g__Nitrosococcus,1883792.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Chromatiales, f__Chromatiaceae
767,g__Roseivivax,220518.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae
768,g__Idiomarina,141607.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Idiomarinaceae
769,g__Streptomonospora,562819.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardiopsaceae
770,g__Williamsia,4376120.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Williamsiaceae
771,g__Pedomicrobium,210344.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Hyphomicrobiaceae
772,g__Morganella,4435876.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae
773,g__za29,142321.0,k__Bacteria, p__Spirochaetes, c__Spirochaetes, o__Spirochaetales, f__Spirochaetaceae
774,g__Halobaculum,4361363.0,k__Archaea, p__Euryarchaeota, c__Halobacteria, o__Halobacteriales, f__Halobacteriaceae
775,g__KD1-23,4441442.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae
776,g__Cohaesibacter,4384705.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Cohaesibacteraceae
777,g__Actinopolymorpha,411799.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae
778,g__Chelativorans,251123.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Phyllobacteriaceae
779,g__Candidatus Regiella,628484.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae
780,g__Candidatus Hepatoplasma,4373344.0,k__Bacteria, p__Tenericutes, c__Mollicutes, o__Mycoplasmatales, f__Mycoplasmataceae
781,g__Oceanobacillus,4031104.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae
782,g__Methanocalculus,2766888.0,k__Archaea, p__Euryarchaeota, c__Methanomicrobia, o__Methanomicrobiales, f__Methanocorpusculaceae
783,g__Brenneria,218910.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae
784,g__Ureibacillus,611808.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Planococcaceae
785,g__Azorhizophilus,240593.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae
786,g__Dactylosporangium,559411.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micromonosporaceae
787,g__Alishewanella,4423032.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__[Chromatiaceae]
788,g__Caldanaerocella,4407264.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae
789,g__Knoellia,581352.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Intrasporangiaceae
790,g__Chthoniobacter,4400280.0,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae]
791,g__Actinoallomurus,1070860.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Thermomonosporaceae
792,g__Kordia,250190.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
793,g__Acaryochloris,348594.0,k__Bacteria, p__Cyanobacteria, c__Synechococcophycideae, o__Synechococcales, f__Acaryochloridaceae
794,g__Salimicrobium,346199.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae
795,g__Azorhizobium,99193.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Xanthobacteraceae
796,g__Sporocytophaga,1107721.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae
797,g__Cylindrospermopsis,4305257.0,k__Bacteria, p__Cyanobacteria, c__Nostocophycideae, o__Nostocales, f__Nostocaceae
798,g__Garciella,1127419.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Eubacteriaceae
799,g__Asticcacaulis,4300558.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae
800,g__Myroides,607117.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
801,g__SargSea-WGS,343475.0,k__Bacteria, p__SAR406, c__AB16, o__Arctic96B-7, f__A714017
802,g__Alkalibacillus,1121038.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae
803,g__Kineococcus,12667.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Kineosporiaceae
804,g__Sporolactobacillus,14478.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Sporolactobacillaceae
805,g__Marinococcus,14475.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae
806,g__Kibdelosporangium,4303968.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Actinosynnemataceae
807,g__Verrucosispora,93484.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micromonosporaceae
808,g__GBI-58,4434377.0,k__Bacteria, p__[Thermi], c__Deinococci, o__Deinococcales, f__Trueperaceae
809,g__CM44,4360866.0,k__Bacteria, p__[Thermi], c__Deinococci, o__Deinococcales, f__Deinococcaceae
810,g__Microlunatus,1103325.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Propionibacteriaceae
811,g__E8,671918.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Thiotrichaceae
812,g__Nautella,189161.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae
813,g__Herbaspirillum,2223575.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae
814,g__Hydrocarboniphaga,770555.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Sinobacteraceae
815,g__Ellin506,1100082.0,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae]
