,genus,line,kingdom,phylum,class,order,family
275,g__Sulfobacillus,58313.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Sulfobacillaceae
276,g__Acidovorax,84438.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
277,g__Thermosynechococcus,62920.0,k__Bacteria, p__Cyanobacteria, c__Synechococcophycideae, o__Synechococcales, f__Acaryochloridaceae
278,g__Umboniibacter,805547.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae
279,g__Methanocorpusculum,215024.0,k__Archaea, p__Euryarchaeota, c__Methanomicrobia, o__Methanomicrobiales, f__Methanocorpusculaceae
280,g__Fimbriimonas,846497.0,k__Bacteria, p__Armatimonadetes, c__[Fimbriimonadia], o__[Fimbriimonadales], f__[Fimbriimonadaceae]
281,g__Thiothrix,18561.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Thiotrichaceae
282,g__Bacteriovorax,345756.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Bdellovibrionales, f__Bacteriovoracaceae
283,g__Polaribacter,346221.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
284,g__Blastomonas,1116632.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae
285,g__Emticicia,4465256.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae
286,g__Dermatophilus,83388.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Dermatophilaceae
287,g__Halorubrum,1145513.0,k__Archaea, p__Euryarchaeota, c__Halobacteria, o__Halobacteriales, f__Halobacteriaceae
288,g__Syntrophobacter,561222.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Syntrophobacterales, f__Syntrophobacteraceae
289,g__Ochrobactrum,569436.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Brucellaceae
290,g__Leucobacter,1120090.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae
291,g__Luteolibacter,531685.0,k__Bacteria, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae
292,g__Propionicimonas,183593.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae
293,g__Cryobacterium,824571.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae
294,g__Cocleimonas,435509.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Thiotrichaceae
295,g__Helicobacter,273661.0,k__Bacteria, p__Proteobacteria, c__Epsilonproteobacteria, o__Campylobacterales, f__Helicobacteraceae
296,g__Sphaerochaeta,4332075.0,k__Bacteria, p__Spirochaetes, c__Spirochaetes, o__Sphaerochaetales, f__Sphaerochaetaceae
297,g__Acholeplasma,4421622.0,k__Bacteria, p__Tenericutes, c__Mollicutes, o__Acholeplasmatales, f__Acholeplasmataceae
298,g__Pseudoxanthomonas,562759.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae
299,g__Aliivibrio,314982.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Vibrionales, f__Vibrionaceae
300,g__Candidatus Arthromitus,396826.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae
301,g__Tepidimicrobium,244503.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Tissierellaceae]
302,g__Nitratireductor,450737.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Phyllobacteriaceae
303,g__Gluconobacter,593555.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae
304,g__Bradyrhizobium,240352.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Bradyrhizobiaceae
305,g__Alcanivorax,821434.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Alcanivoracaceae
306,g__Candidatus Azobacteroides,805339.0,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae
307,g__Janthinobacterium,283972.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae
308,g__Dermacoccus,3941682.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Dermacoccaceae
309,g__Marinobacter,719639.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae
310,g__Candidatus Methanoregula,243629.0,k__Archaea, p__Euryarchaeota, c__Methanomicrobia, o__Methanomicrobiales, f__Methanoregulaceae
311,g__HA73,804060.0,k__Bacteria, p__Synergistetes, c__Synergistia, o__Synergistales, f__Dethiosulfovibrionaceae
312,g__Propionivibrio,746287.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae
313,g__Propionibacterium,1080702.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Propionibacteriaceae
314,g__Thermomonas,3942777.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae
315,g__Amycolatopsis,1132860.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Pseudonocardiaceae
316,g__Phenylobacterium,4377343.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae
317,g__Nonomuraea,45962.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptosporangiaceae
318,g__Coprothermobacter,319261.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Thermoanaerobacterales, f__Thermodesulfobiaceae
319,g__Nevskia,7773.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Sinobacteraceae
320,g__Cardiobacterium,4308378.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cardiobacteriales, f__Cardiobacteriaceae
321,g__Brachybacterium,988801.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Dermabacteraceae
322,g__Syntrophus,581591.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Syntrophobacterales, f__Syntrophaceae
323,g__GOUTA19,581592.0,k__Bacteria, p__Nitrospirae, c__Nitrospira, o__Nitrospirales, f__[Thermodesulfovibrionaceae]
324,g__Balneola,318137.0,k__Bacteria, p__Bacteroidetes, c__[Rhodothermi], o__[Rhodothermales], f__[Balneolaceae]
325,g__Psychrilyobacter,4475001.0,k__Bacteria, p__Fusobacteria, c__Fusobacteriia, o__Fusobacteriales, f__Fusobacteriaceae
326,g__Sporanaerobacter,4456620.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Tissierellaceae]
327,g__Oleibacter,2556149.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Oceanospirillaceae
328,g__Rhodanobacter,666914.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae
329,g__Virgibacillus,773541.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae
330,g__Halorhodospira,827000.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Chromatiales, f__Ectothiorhodospiraceae
331,g__Pontibacter,1574400.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae
332,g__Methanolobus,211246.0,k__Archaea, p__Euryarchaeota, c__Methanomicrobia, o__Methanosarcinales, f__Methanosarcinaceae
333,g__Acetobacterium,4447772.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Eubacteriaceae
334,g__Exiguobacterium,148380.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__[Exiguobacteraceae]
335,g__Sarcina,289130.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae
336,g__Epulopiscium,3224662.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae
337,g__Candidatus Koribacter,1024713.0,k__Bacteria, p__Acidobacteria, c__Acidobacteriia, o__Acidobacteriales, f__Koribacteraceae
